Ejercicio fiscal,Nombre de la Oficina,Tipo de Ocupacion,Calle,Numero,Colonia,Codigo Postal,Clave Municipio,Municipio,Clave Estado,Estado
2016,Oficina  Federal de Pesca Patzcuaro,Oficina de Pesca,Calzada Ibarra ,28,Ibarra,61609,66,Patzcuaro,16,Michoac†n
2016,Oficina  Federal de Pesca Zitacuaro,Oficina de Pesca,Avenida Hidalgo Oriente ,100,Melchor Ocampo,61505,112,Zit†cuaro,16,Michoac†n
2016,Oficina de Pesca en Cuernavaca,Subdelegacion de Pesca,Avenida Universidad Planta Baja,5,Santa Maria Ahuacatitlan,62100,7,Cuernavaca,17,Morelos
2016,Oficina  Federal de Pesca La Pe§ita,Oficina de Pesca,Tlaxcala,15,San Jose  ,63715,4,Compostela,18,Nayarit
2016,Oficina  Federal de Pesca San Blas,Oficina de Pesca,Cuahutemoc ,Sin Numero,La Playita,63740,12,San Blas,18,Nayarit
2016,Oficina  Federal de Pesca Santiago Ixcuintla,Oficina de Pesca,Km 2 Carretera Santiago Ixcuincla a Entronque con Carretera Internacional 15,Sin Numero,Los Hornos,63320,15,Santiago Ixcuintla,18,Nayarit
2016,Oficina  Federal de Pesca Tecuala,Oficina de Pesca,Zaragoza Esquina Puebla,Sin Numero,Centro,63450,16,Tecuala,18,Nayarit
2016,Oficina  Federal de Pesca Tuxpan,Oficina de Pesca,Eduardo Audelo,24,El Beis,63200,18,Tuxpan,18,Nayarit
2016,Oficina  Federal de Pesca Pinotepa Nacional,Oficina de Pesca,Septima Poniente,Sin Numero,Barrio Yatacu,81600,482,Santiago Pinotepa Nacional,20,Oaxaca
2016,Oficina  Federal de Pesca Puerto Angel,Oficina de Pesca,Domicilio Conocido Virgilio Uribe Interior Agencia Municipal ,Sin Numero,Sin Colonia,79902,324,San Pedro Pochutla,20,Oaxaca
2016,Oficina  Federal de Pesca Puerto Escondido,Oficina de Pesca,Mariano Matamoros,Sin Numero,Lazaro Cardenas,71980,318,San Pedro Mixtepex,20,Oaxaca
2016,Oficina  Federal de Pesca Cancun,Oficina de Pesca,Punta Niche Sabi Supermanzana 23,10,Benito Juarez,77500,5,Benito Ju†rez,23,Quintana Roo
2016,Oficina  Federal de Pesca Playa del Carmen,Oficina de Pesca,Avenida 15 Sur entre Adolfo Rosado Salas y Calle 3 Sur,249,Centro,77500,1,Cozumel,23,Quintana Roo
2016,Oficina  Federal de Pesca holbox,Oficina de Pesca,Enrique Santa Miguel esquina Victoria Santa ana ,Sin Numero,Centro,77760,9,Tul£m,23,Quintana Roo
2016,Oficina Federal de Pesca El Rosario,Oficina de Pesca,Libertad  ,Sin Numero,Marcelo Loya,82800,14,El Rosario,25,Sinaloa
2016,Oficina Federal de Pesca Escuinapa,Oficina de Pesca,Calle Prolongacion Centenario Entre Revolucion y Polanco,Sin Numero,Centro,82400,9,Escuinapa,25,Sinaloa
2016,Oficina Federal de Pesca Guasave,Oficina de Pesca,Benigno Valenzuela y Hernando de Villafa§e,Sin Numero,Centro,81000,11,Guasave,25,Sinaloa
2016,Oficina Federal de Pesca Los Mochis,Oficina de Pesca,Marcial Ordo§es y Guillermo Prieto,Sin Numero,Centro,81360,1,Ahome,25,Sinaloa
2016,Oficina Federal de Pesca Mazatlan,Oficina de Pesca,Avenida Puerto de Mazatlan,Sin Numero,Parque Industrial Alfredo V Bonfil,82050,12,Mazatlan,25,Sinaloa
2016,Oficina Federal de Pesca Ciudad Obregon,Oficina de Pesca,Guadalupe Victoria Esquina California,311,La Cortina Primera Seccion,82150,18,Cd. Obregon ,26,Sonora
2016,Oficina Federal de Pesca Aldama,Oficina de Pesca,Dentro de la Presidencia Municipal,Sin Numero,Sin Colonia,89670,2,Aldama,28,Tamaulipas
2016,Oficina Federal de Pesca Ciudad Victoria,Oficina de Pesca,Luis Caballero,925,Tamatan,87080,41,Cd. Victoria,28,Tamaulipas
